Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,New Jersey,20091103,"252,552",ATLANTIC,"35,724","Christie, Chris",Challenger,"33,360","Corzine, Jon S.",Incumbent,I,"3,611","Daggett, Christopher J.",Challenger,913,"2,364",R,4.91,51.71,48.29,,,"Kaplan, Kenneth R. (Independent) 184; Steele, Gary T. (Independent) 102; Cullen, Jason (Independent) 85; Meiswinkle, David R. (Independent) 295; Petris, Kostas (Independent) 115; Pason, Gregory J. (Independent) 28; Stein, Gary (Independent) 44; Leinsdorf, Joshua (Independent) 41; Lindsay, Alvin Jr. (Independent) 19"
Governor,New Jersey,20091103,"884,118",BERGEN,"121,446","Christie, Chris",Challenger,"127,386","Corzine, Jon S.",Incumbent,I,"12,452","Daggett, Christopher J.",Challenger,"1,262","5,940",D,4.74,48.81,51.19,,,"Kaplan, Kenneth R. (Independent) 389; Steele, Gary T. (Independent) 147; Cullen, Jason (Independent) 85; Meiswinkle, David R. (Independent) 176; Petris, Kostas (Independent) 63; Pason, Gregory J. (Independent) 210; Stein, Gary (Independent) 56; Leinsdorf, Joshua (Independent) 58; Lindsay, Alvin Jr. (Independent) 78"
Governor,New Jersey,20091103,"423,394",BURLINGTON,"66,723","Christie, Chris",Challenger,"63,114","Corzine, Jon S.",Incumbent,I,"6,333","Daggett, Christopher J.",Challenger,"1,777","3,609",R,4.59,51.39,48.61,,,"Kaplan, Kenneth R. (Independent) 201; Steele, Gary T. (Independent) 67; Cullen, Jason (Independent) 605; Meiswinkle, David R. (Independent) 132; Petris, Kostas (Independent) 396; Pason, Gregory J. (Independent) 98; Stein, Gary (Independent) 89; Leinsdorf, Joshua (Independent) 46; Lindsay, Alvin Jr. (Independent) 35; Choice, Personal (Independent) 108"
Governor,New Jersey,20091103,"508,932",CAMDEN,"52,337","Christie, Chris",Challenger,"73,171","Corzine, Jon S.",Incumbent,I,"6,166","Daggett, Christopher J.",Challenger,"1,526","20,834",D,4.63,41.70,58.30,,,"Kaplan, Kenneth R. (Independent) 340; Steele, Gary T. (Independent) 166; Cullen, Jason (Independent) 99; Meiswinkle, David R. (Independent) 478; Petris, Kostas (Independent) 167; Pason, Gregory J. (Independent) 105; Stein, Gary (Independent) 81; Leinsdorf, Joshua (Independent) 46; Lindsay, Alvin Jr. (Independent) 44"
Governor,New Jersey,20091103,"102,326",CAPE MAY,"18,992","Christie, Chris",Challenger,"13,379","Corzine, Jon S.",Incumbent,I,"2,126","Daggett, Christopher J.",Challenger,451,"5,613",R,6.08,58.67,41.33,,,"Kaplan, Kenneth R. (Independent) 95; Steele, Gary T. (Independent) 33; Cullen, Jason (Independent) 57; Meiswinkle, David R. (Independent) 20; Petris, Kostas (Independent) 175; Pason, Gregory J. (Independent) 25; Stein, Gary (Independent) 35; Leinsdorf, Joshua (Independent) 6; Lindsay, Alvin Jr. (Independent) 5"
Governor,New Jersey,20091103,"146,438",CUMBERLAND,"14,079","Christie, Chris",Challenger,"17,092","Corzine, Jon S.",Incumbent,I,"1,962","Daggett, Christopher J.",Challenger,586,"3,013",D,5.82,45.17,54.83,,,"Kaplan, Kenneth R. (Independent) 101; Steele, Gary T. (Independent) 208; Cullen, Jason (Independent) 51; Meiswinkle, David R. (Independent) 118; Petris, Kostas (Independent) 49; Pason, Gregory J. (Independent) 12; Stein, Gary (Independent) 10; Leinsdorf, Joshua (Independent) 7; Lindsay, Alvin Jr. (Independent) 30"
Governor,New Jersey,20091103,"793,633",ESSEX,"50,240","Christie, Chris",Challenger,"122,640","Corzine, Jon S.",Incumbent,I,"8,240","Daggett, Christopher J.",Challenger,"1,357","72,400",D,4.52,29.06,70.94,,,"Kaplan, Kenneth R. (Independent) 222; Steele, Gary T. (Independent) 86; Cullen, Jason (Independent) 538; Meiswinkle, David R. (Independent) 193; Petris, Kostas (Independent) 29; Pason, Gregory J. (Independent) 165; Stein, Gary (Independent) 61; Leinsdorf, Joshua (Independent) 38; Lindsay, Alvin Jr. (Independent) 25"
Governor,New Jersey,20091103,"254,673",GLOUCESTER,"39,815","Christie, Chris",Challenger,"37,066","Corzine, Jon S.",Incumbent,I,"6,777","Daggett, Christopher J.",Challenger,593,"2,749",R,8.04,51.79,48.21,,,"Kaplan, Kenneth R. (Independent) 182; Steele, Gary T. (Independent) 79; Cullen, Jason (Independent) 96; Meiswinkle, David R. (Independent) 72; Petris, Kostas (Independent) 35; Pason, Gregory J. (Independent) 35; Stein, Gary (Independent) 40; Leinsdorf, Joshua (Independent) 10; Lindsay, Alvin Jr. (Independent) 44"
Governor,New Jersey,20091103,"608,975",HUDSON,"30,820","Christie, Chris",Challenger,"82,075","Corzine, Jon S.",Incumbent,I,"4,017","Daggett, Christopher J.",Challenger,"1,280","51,255",D,3.40,27.30,72.70,,,"Kaplan, Kenneth R. (Independent) 122; Steele, Gary T. (Independent) 47; Cullen, Jason (Independent) 142; Meiswinkle, David R. (Independent) 38; Petris, Kostas (Independent) 116; Pason, Gregory J. (Independent) 186; Stein, Gary (Independent) 556; Leinsdorf, Joshua (Independent) 34; Lindsay, Alvin Jr. (Independent) 39"
Governor,New Jersey,20091103,"121,989",HUNTERDON,"33,360","Christie, Chris",Challenger,"12,893","Corzine, Jon S.",Incumbent,I,"4,098","Daggett, Christopher J.",Challenger,387,"20,467",R,8.08,72.13,27.87,,,"Kaplan, Kenneth R. (Independent) 105; Steele, Gary T. (Independent) 34; Cullen, Jason (Independent) 18; Meiswinkle, David R. (Independent) 44; Petris, Kostas (Independent) 41; Pason, Gregory J. (Independent) 31; Stein, Gary (Independent) 56; Leinsdorf, Joshua (Independent) 47; Lindsay, Alvin Jr. (Independent) 11"
Governor,New Jersey,20091103,"350,761",MERCER,"39,769","Christie, Chris",Challenger,"55,199","Corzine, Jon S.",Incumbent,I,"5,424","Daggett, Christopher J.",Challenger,874,"15,430",D,5.36,41.88,58.12,,,"Kaplan, Kenneth R. (Independent) 368; Steele, Gary T. (Independent) 44; Cullen, Jason (Independent) 74; Meiswinkle, David R. (Independent) 47; Petris, Kostas (Independent) 149; Pason, Gregory J. (Independent) 93; Stein, Gary (Independent) 46; Leinsdorf, Joshua (Independent) 30; Lindsay, Alvin Jr. (Independent) 23"
Governor,New Jersey,20091103,"750,162",MIDDLESEX,"94,506","Christie, Chris",Challenger,"89,732","Corzine, Jon S.",Incumbent,I,"13,034","Daggett, Christopher J.",Challenger,"2,023","4,774",R,6.54,51.30,48.70,,,"Kaplan, Kenneth R. (Independent) 320; Steele, Gary T. (Independent) 912; Cullen, Jason (Independent) 197; Meiswinkle, David R. (Independent) 174; Petris, Kostas (Independent) 106; Pason, Gregory J. (Independent) 167; Stein, Gary (Independent) 74; Leinsdorf, Joshua (Independent) 27; Lindsay, Alvin Jr. (Independent) 46"
Governor,New Jersey,20091103,"615,301",MONMOUTH,"129,039","Christie, Chris",Challenger,"64,672","Corzine, Jon S.",Incumbent,I,"11,952","Daggett, Christopher J.",Challenger,"1,658","64,367",R,5.76,66.61,33.39,,,"Kaplan, Kenneth R. (Independent) 364; Steele, Gary T. (Independent) 661; Cullen, Jason (Independent) 97; Meiswinkle, David R. (Independent) 240; Petris, Kostas (Independent) 51; Pason, Gregory J. (Independent) 83; Stein, Gary (Independent) 52; Leinsdorf, Joshua (Independent) 78; Lindsay, Alvin Jr. (Independent) 32"
Governor,New Jersey,20091103,"470,212",MORRIS,"99,085","Christie, Chris",Challenger,"51,586","Corzine, Jon S.",Incumbent,I,"13,321","Daggett, Christopher J.",Challenger,"1,031","47,499",R,8.07,65.76,34.24,,,"Kaplan, Kenneth R. (Independent) 278; Steele, Gary T. (Independent) 259; Cullen, Jason (Independent) 93; Meiswinkle, David R. (Independent) 53; Petris, Kostas (Independent) 31; Pason, Gregory J. (Independent) 205; Stein, Gary (Independent) 27; Leinsdorf, Joshua (Independent) 43; Lindsay, Alvin Jr. (Independent) 42"
Governor,New Jersey,20091103,"510,916",OCEAN,"124,238","Christie, Chris",Challenger,"53,761","Corzine, Jon S.",Incumbent,I,"9,068","Daggett, Christopher J.",Challenger,"1,955","70,477",R,4.80,69.80,30.20,,,"Kaplan, Kenneth R. (Independent) 398; Steele, Gary T. (Independent) 203; Cullen, Jason (Independent) 164; Meiswinkle, David R. (Independent) 172; Petris, Kostas (Independent) 778; Pason, Gregory J. (Independent) 57; Stein, Gary (Independent) 85; Leinsdorf, Joshua (Independent) 29; Lindsay, Alvin Jr. (Independent) 69"
Governor,New Jersey,20091103,"489,049",PASSAIC,"48,500","Christie, Chris",Challenger,"57,010","Corzine, Jon S.",Incumbent,I,"4,288","Daggett, Christopher J.",Challenger,981,"8,510",D,3.87,45.97,54.03,,,"Kaplan, Kenneth R. (Independent) 251; Steele, Gary T. (Independent) 198; Cullen, Jason (Independent) 86; Meiswinkle, David R. (Independent) 53; Petris, Kostas (Independent) 36; Pason, Gregory J. (Independent) 264; Stein, Gary (Independent) 25; Leinsdorf, Joshua (Independent) 26; Lindsay, Alvin Jr. (Independent) 42"
Governor,New Jersey,20091103,"64,285",SALEM,"9,599","Christie, Chris",Challenger,"8,323","Corzine, Jon S.",Incumbent,I,"2,011","Daggett, Christopher J.",Challenger,411,"1,276",R,9.88,53.56,46.44,,,"Kaplan, Kenneth R. (Independent) 104; Steele, Gary T. (Independent) 34; Cullen, Jason (Independent) 35; Meiswinkle, David R. (Independent) 34; Petris, Kostas (Independent) 46; Pason, Gregory J. (Independent) 27; Stein, Gary (Independent) 45; Leinsdorf, Joshua (Independent) 51; Lindsay, Alvin Jr. (Independent) 35"
Governor,New Jersey,20091103,"297,490",SOMERSET,"57,481","Christie, Chris",Challenger,"35,089","Corzine, Jon S.",Incumbent,I,"8,911","Daggett, Christopher J.",Challenger,740,"22,392",R,8.72,62.09,37.91,,,"Kaplan, Kenneth R. (Independent) 243; Steele, Gary T. (Independent) 92; Cullen, Jason (Independent) 56; Meiswinkle, David R. (Independent) 107; Petris, Kostas (Independent) 25; Pason, Gregory J. (Independent) 62; Stein, Gary (Independent) 133; Leinsdorf, Joshua (Independent) 8; Lindsay, Alvin Jr. (Independent) 14"
Governor,New Jersey,20091103,"144,166",SUSSEX,"31,749","Christie, Chris",Challenger,"12,870","Corzine, Jon S.",Incumbent,I,"4,563","Daggett, Christopher J.",Challenger,664,"18,879",R,9.15,71.16,28.84,,,"Kaplan, Kenneth R. (Independent) 151; Steele, Gary T. (Independent) 90; Cullen, Jason (Independent) 106; Meiswinkle, David R. (Independent) 59; Petris, Kostas (Independent) 60; Pason, Gregory J. (Independent) 32; Stein, Gary (Independent) 71; Leinsdorf, Joshua (Independent) 74; Lindsay, Alvin Jr. (Independent) 21"
Governor,New Jersey,20091103,"522,541",UNION,"56,769","Christie, Chris",Challenger,"68,867","Corzine, Jon S.",Incumbent,I,"7,999","Daggett, Christopher J.",Challenger,"1,058","12,098",D,5.94,45.19,54.81,,,"Kaplan, Kenneth R. (Independent) 191; Steele, Gary T. (Independent) 69; Cullen, Jason (Independent) 126; Meiswinkle, David R. (Independent) 50; Petris, Kostas (Independent) 36; Pason, Gregory J. (Independent) 186; Stein, Gary (Independent) 13; Leinsdorf, Joshua (Independent) 302; Lindsay, Alvin Jr. (Independent) 85"
Governor,New Jersey,20091103,"102,437",WARREN,"20,174","Christie, Chris",Challenger,"8,446","Corzine, Jon S.",Incumbent,I,"3,226","Daggett, Christopher J.",Challenger,510,"11,728",R,9.97,70.49,29.51,,,"Kaplan, Kenneth R. (Independent) 221; Steele, Gary T. (Independent) 54; Cullen, Jason (Independent) 59; Meiswinkle, David R. (Independent) 43; Petris, Kostas (Independent) 59; Pason, Gregory J. (Independent) 14; Stein, Gary (Independent) 26; Leinsdorf, Joshua (Independent) 20; Lindsay, Alvin Jr. (Independent) 14"
Governor,Virginia,20091103,"38,305",ACCOMACK,"5,400","McDonnell, Robert F.",Challenger,"3,249","Deeds, R. Creigh",Challenger,WR,2,Scattered Write-Ins,Challenger,N/A,"2,151",R,.02,62.43,37.57,  ,  ,
Governor,Virginia,20091103,"79,236",ALBEMARLE,"15,767","McDonnell, Robert F.",Challenger,"15,433","Deeds, R. Creigh",Challenger,WR,35,Scattered Write-Ins,Challenger,N/A,334,R,.11,50.54,49.46,  ,  ,
Governor,Virginia,20091103,"128,283",ALEXANDRIA,"13,050","McDonnell, Robert F.",Challenger,"22,108","Deeds, R. Creigh",Challenger,WR,71,Scattered Write-Ins,Challenger,N/A,"9,058",D,.20,37.12,62.88,  ,  ,
Governor,Virginia,20091103,N/A,ALLEGHANY,"2,017","McDonnell, Robert F.",Challenger,"3,190","Deeds, R. Creigh",Challenger,WR,3,Scattered Write-Ins,Challenger,N/A,"1,173",D,.06,38.74,61.26,  ,  ,
Governor,Virginia,20091103,"11,400",AMELIA,"2,878","McDonnell, Robert F.",Challenger,"1,168","Deeds, R. Creigh",Challenger,WR,2,Scattered Write-Ins,Challenger,N/A,"1,710",R,.05,71.13,28.87,  ,  ,
Governor,Virginia,20091103,"31,894",AMHERST,"5,976","McDonnell, Robert F.",Challenger,"2,827","Deeds, R. Creigh",Challenger,WR,4,Scattered Write-Ins,Challenger,N/A,"3,149",R,.05,67.89,32.11,  ,  ,
Governor,Virginia,20091103,"13,705",APPOMATTOX,"3,397","McDonnell, Robert F.",Challenger,"1,172","Deeds, R. Creigh",Challenger,WR,1,Scattered Write-Ins,Challenger,N/A,"2,225",R,.02,74.35,25.65,  ,  ,
Governor,Virginia,20091103,"189,453",ARLINGTON,"19,325","McDonnell, Robert F.",Challenger,"36,949","Deeds, R. Creigh",Challenger,WR,141,Scattered Write-Ins,Challenger,N/A,"17,624",D,.25,34.34,65.66,  ,  ,
Governor,Virginia,20091103,"65,615",AUGUSTA,"15,661","McDonnell, Robert F.",Challenger,"4,558","Deeds, R. Creigh",Challenger,WR,16,Scattered Write-Ins,Challenger,N/A,"11,103",R,.08,77.46,22.54,  ,  ,
Governor,Virginia,20091103,"5,048",BATH,666,"McDonnell, Robert F.",Challenger,"1,159","Deeds, R. Creigh",Challenger,WR,1,Scattered Write-Ins,Challenger,N/A,493,D,.05,36.49,63.51,  ,  ,
Governor,Virginia,20091103,"60,371",BEDFORD,"16,881","McDonnell, Robert F.",Challenger,"5,009","Deeds, R. Creigh",Challenger,WR,14,Scattered Write-Ins,Challenger,N/A,"11,872",R,.06,77.12,22.88,  ,  ,
Governor,Virginia,20091103,"6,299",BEDFORD CITY,"1,016","McDonnell, Robert F.",Challenger,553,"Deeds, R. Creigh",Challenger,WR,N/A,Scattered Write-Ins,Challenger,N/A,463,R,.00,64.75,35.25,  ,  ,
Governor,Virginia,20091103,"6,871",BLAND,"1,394","McDonnell, Robert F.",Challenger,442,"Deeds, R. Creigh",Challenger,WR,1,Scattered Write-Ins,Challenger,N/A,952,R,.05,75.93,24.07,  ,  ,
Governor,Virginia,20091103,"30,496",BOTETOURT,"7,726","McDonnell, Robert F.",Challenger,"3,097","Deeds, R. Creigh",Challenger,WR,19,Scattered Write-Ins,Challenger,N/A,"4,629",R,.18,71.39,28.61,  ,  ,
Governor,Virginia,20091103,"17,367",BRISTOL,"2,760","McDonnell, Robert F.",Challenger,"1,047","Deeds, R. Creigh",Challenger,WR,3,Scattered Write-Ins,Challenger,N/A,"1,713",R,.08,72.50,27.50,  ,  ,
Governor,Virginia,20091103,"18,419",BRUNSWICK,"2,107","McDonnell, Robert F.",Challenger,"2,062","Deeds, R. Creigh",Challenger,WR,4,Scattered Write-Ins,Challenger,N/A,45,R,.10,50.54,49.46,  ,  ,
Governor,Virginia,20091103,"26,978",BUCHANAN,"3,261","McDonnell, Robert F.",Challenger,"1,895","Deeds, R. Creigh",Challenger,WR,2,Scattered Write-Ins,Challenger,N/A,"1,366",R,.04,63.25,36.75,  ,  ,
Governor,Virginia,20091103,"15,623",BUCKINGHAM,"2,313","McDonnell, Robert F.",Challenger,"1,335","Deeds, R. Creigh",Challenger,WR,N/A,Scattered Write-Ins,Challenger,N/A,978,R,.00,63.40,36.60,  ,  ,
Governor,Virginia,20091103,"6,349",BUENA VISTA,824,"McDonnell, Robert F.",Challenger,528,"Deeds, R. Creigh",Challenger,WR,N/A,Scattered Write-Ins,Challenger,N/A,296,R,.00,60.95,39.05,  ,  ,
Governor,Virginia,20091103,"51,078",CAMPBELL,"11,611","McDonnell, Robert F.",Challenger,"3,457","Deeds, R. Creigh",Challenger,WR,26,Scattered Write-Ins,Challenger,N/A,"8,154",R,.17,77.06,22.94,  ,  ,
Governor,Virginia,20091103,"22,121",CAROLINE,"3,709","McDonnell, Robert F.",Challenger,"2,855","Deeds, R. Creigh",Challenger,WR,4,Scattered Write-Ins,Challenger,N/A,854,R,.06,56.51,43.49,  ,  ,
Governor,Virginia,20091103,"29,245",CARROLL,"5,229","McDonnell, Robert F.",Challenger,"1,932","Deeds, R. Creigh",Challenger,WR,5,Scattered Write-Ins,Challenger,N/A,"3,297",R,.07,73.02,26.98,  ,  ,
Governor,Virginia,20091103,"6,926",CHARLES CITY,890,"McDonnell, Robert F.",Challenger,"1,259","Deeds, R. Creigh",Challenger,WR,2,Scattered Write-Ins,Challenger,N/A,369,D,.09,41.41,58.59,  ,  ,
Governor,Virginia,20091103,"12,472",CHARLOTTE,"2,347","McDonnell, Robert F.",Challenger,"1,171","Deeds, R. Creigh",Challenger,WR,5,Scattered Write-Ins,Challenger,N/A,"1,176",R,.14,66.71,33.29,  ,  ,
Governor,Virginia,20091103,"45,049",CHARLOTTESVILLE,"2,636","McDonnell, Robert F.",Challenger,"7,406","Deeds, R. Creigh",Challenger,WR,14,Scattered Write-Ins,Challenger,N/A,"4,770",D,.14,26.25,73.75,  ,  ,
Governor,Virginia,20091103,"199,184",CHESAPEAKE,"32,518","McDonnell, Robert F.",Challenger,"21,376","Deeds, R. Creigh",Challenger,WR,43,Scattered Write-Ins,Challenger,N/A,"11,142",R,.08,60.34,39.66,  ,  ,
Governor,Virginia,20091103,"259,903",CHESTERFIELD,"59,558","McDonnell, Robert F.",Challenger,"30,161","Deeds, R. Creigh",Challenger,WR,156,Scattered Write-Ins,Challenger,N/A,"29,397",R,.17,66.38,33.62,  ,  ,
Governor,Virginia,20091103,"12,652",CLARKE,"2,744","McDonnell, Robert F.",Challenger,"1,586","Deeds, R. Creigh",Challenger,WR,4,Scattered Write-Ins,Challenger,N/A,"1,158",R,.09,63.37,36.63,  ,  ,
Governor,Virginia,20091103,"16,897",COLONIAL HEIGHTS,"4,333","McDonnell, Robert F.",Challenger,877,"Deeds, R. Creigh",Challenger,WR,2,Scattered Write-Ins,Challenger,N/A,"3,456",R,.04,83.17,16.83,  ,  ,
Governor,Virginia,20091103,"6,303",COVINGTON,507,"McDonnell, Robert F.",Challenger,979,"Deeds, R. Creigh",Challenger,WR,2,Scattered Write-Ins,Challenger,N/A,472,D,.13,34.12,65.88,  ,  ,
Governor,Virginia,20091103,"5,091",CRAIG,"1,091","McDonnell, Robert F.",Challenger,518,"Deeds, R. Creigh",Challenger,WR,1,Scattered Write-Ins,Challenger,N/A,573,R,.06,67.81,32.19,  ,  ,
Governor,Virginia,20091103,"34,262",CULPEPER,"7,253","McDonnell, Robert F.",Challenger,"3,057","Deeds, R. Creigh",Challenger,WR,14,Scattered Write-Ins,Challenger,N/A,"4,196",R,.14,70.35,29.65,  ,  ,
Governor,Virginia,20091103,"9,017",CUMBERLAND,"1,728","McDonnell, Robert F.",Challenger,967,"Deeds, R. Creigh",Challenger,WR,1,Scattered Write-Ins,Challenger,N/A,761,R,.04,64.12,35.88,  ,  ,
Governor,Virginia,20091103,"48,411",DANVILLE,"6,001","McDonnell, Robert F.",Challenger,"4,906","Deeds, R. Creigh",Challenger,WR,11,Scattered Write-Ins,Challenger,N/A,"1,095",R,.10,55.02,44.98,  ,  ,
Governor,Virginia,20091103,"16,395",DICKENSON,"2,176","McDonnell, Robert F.",Challenger,"1,420","Deeds, R. Creigh",Challenger,WR,3,Scattered Write-Ins,Challenger,N/A,756,R,.08,60.51,39.49,  ,  ,
Governor,Virginia,20091103,"24,533",DINWIDDIE,"4,461","McDonnell, Robert F.",Challenger,"2,661","Deeds, R. Creigh",Challenger,WR,4,Scattered Write-Ins,Challenger,N/A,"1,800",R,.06,62.64,37.36,  ,  ,
Governor,Virginia,20091103,"5,665",EMPORIA,690,"McDonnell, Robert F.",Challenger,627,"Deeds, R. Creigh",Challenger,WR,1,Scattered Write-Ins,Challenger,N/A,63,R,.08,52.39,47.61,  ,  ,
Governor,Virginia,20091103,"9,989",ESSEX,"1,631","McDonnell, Robert F.",Challenger,"1,051","Deeds, R. Creigh",Challenger,WR,N/A,Scattered Write-Ins,Challenger,N/A,580,R,.00,60.81,39.19,  ,  ,
Governor,Virginia,20091103,"969,749",FAIRFAX,"138,655","McDonnell, Robert F.",Challenger,"134,189","Deeds, R. Creigh",Challenger,WR,438,Scattered Write-Ins,Challenger,N/A,"4,466",R,.16,50.82,49.18,  ,  ,
Governor,Virginia,20091103,"21,498",FAIRFAX CITY,"3,285","McDonnell, Robert F.",Challenger,"2,909","Deeds, R. Creigh",Challenger,WR,7,Scattered Write-Ins,Challenger,N/A,376,R,.11,53.04,46.96,  ,  ,
Governor,Virginia,20091103,"10,377",FALLS CHURCH,"1,463","McDonnell, Robert F.",Challenger,"2,718","Deeds, R. Creigh",Challenger,WR,6,Scattered Write-Ins,Challenger,N/A,"1,255",D,.14,34.99,65.01,  ,  ,
Governor,Virginia,20091103,"55,139",FAUQUIER,"12,309","McDonnell, Robert F.",Challenger,"5,566","Deeds, R. Creigh",Challenger,WR,23,Scattered Write-Ins,Challenger,N/A,"6,743",R,.13,68.86,31.14,  ,  ,
Governor,Virginia,20091103,"13,874",FLOYD,"2,951","McDonnell, Robert F.",Challenger,"1,529","Deeds, R. Creigh",Challenger,WR,7,Scattered Write-Ins,Challenger,N/A,"1,422",R,.16,65.87,34.13,  ,  ,
Governor,Virginia,20091103,"20,047",FLUVANNA,"4,850","McDonnell, Robert F.",Challenger,"2,791","Deeds, R. Creigh",Challenger,WR,10,Scattered Write-Ins,Challenger,N/A,"2,059",R,.13,63.47,36.53,  ,  ,
Governor,Virginia,20091103,"47,286",FRANKLIN,"10,283","McDonnell, Robert F.",Challenger,"4,656","Deeds, R. Creigh",Challenger,WR,12,Scattered Write-Ins,Challenger,N/A,"5,627",R,.08,68.83,31.17,  ,  ,
Governor,Virginia,20091103,"8,346",FRANKLIN CITY,"1,013","McDonnell, Robert F.",Challenger,"1,216","Deeds, R. Creigh",Challenger,WR,1,Scattered Write-Ins,Challenger,N/A,203,D,.04,45.45,54.55,  ,  ,
Governor,Virginia,20091103,"59,209",FREDERICK,"13,274","McDonnell, Robert F.",Challenger,"4,456","Deeds, R. Creigh",Challenger,WR,25,Scattered Write-Ins,Challenger,N/A,"8,818",R,.14,74.87,25.13,  ,  ,
Governor,Virginia,20091103,"19,279",FREDERICKSBURG,"2,231","McDonnell, Robert F.",Challenger,"2,318","Deeds, R. Creigh",Challenger,WR,10,Scattered Write-Ins,Challenger,N/A,87,D,.22,49.04,50.96,  ,  ,
Governor,Virginia,20091103,"6,837",GALAX,818,"McDonnell, Robert F.",Challenger,490,"Deeds, R. Creigh",Challenger,WR,3,Scattered Write-Ins,Challenger,N/A,328,R,.23,62.54,37.46,  ,  ,
Governor,Virginia,20091103,"16,657",GILES,"2,916","McDonnell, Robert F.",Challenger,"1,683","Deeds, R. Creigh",Challenger,WR,4,Scattered Write-Ins,Challenger,N/A,"1,233",R,.09,63.41,36.59,  ,  ,
Governor,Virginia,20091103,"34,780",GLOUCESTER,"8,126","McDonnell, Robert F.",Challenger,"3,130","Deeds, R. Creigh",Challenger,WR,16,Scattered Write-Ins,Challenger,N/A,"4,996",R,.14,72.19,27.81,  ,  ,
Governor,Virginia,20091103,"16,863",GOOCHLAND,"5,837","McDonnell, Robert F.",Challenger,"2,401","Deeds, R. Creigh",Challenger,WR,10,Scattered Write-Ins,Challenger,N/A,"3,436",R,.12,70.85,29.15,  ,  ,
Governor,Virginia,20091103,"17,917",GRAYSON,"3,026","McDonnell, Robert F.",Challenger,"1,279","Deeds, R. Creigh",Challenger,WR,N/A,Scattered Write-Ins,Challenger,N/A,"1,747",R,.00,70.29,29.71,  ,  ,
Governor,Virginia,20091103,"15,244",GREENE,"3,514","McDonnell, Robert F.",Challenger,"1,326","Deeds, R. Creigh",Challenger,WR,5,Scattered Write-Ins,Challenger,N/A,"2,188",R,.10,72.60,27.40,  ,  ,
Governor,Virginia,20091103,"11,560",GREENSVILLE,"1,283","McDonnell, Robert F.",Challenger,"1,426","Deeds, R. Creigh",Challenger,WR,N/A,Scattered Write-Ins,Challenger,N/A,143,D,.00,47.36,52.64,  ,  ,
Governor,Virginia,20091103,"37,355",HALIFAX,"5,453","McDonnell, Robert F.",Challenger,"3,390","Deeds, R. Creigh",Challenger,WR,19,Scattered Write-Ins,Challenger,N/A,"2,063",R,.21,61.66,38.34,  ,  ,
Governor,Virginia,20091103,"146,437",HAMPTON,"13,559","McDonnell, Robert F.",Challenger,"18,696","Deeds, R. Creigh",Challenger,WR,47,Scattered Write-Ins,Challenger,N/A,"5,137",D,.15,42.04,57.96,  ,  ,
Governor,Virginia,20091103,"86,320",HANOVER,"26,401","McDonnell, Robert F.",Challenger,"8,180","Deeds, R. Creigh",Challenger,WR,46,Scattered Write-Ins,Challenger,N/A,"18,221",R,.13,76.35,23.65,  ,  ,
Governor,Virginia,20091103,"40,468",HARRISONBURG,"3,816","McDonnell, Robert F.",Challenger,"2,790","Deeds, R. Creigh",Challenger,WR,11,Scattered Write-Ins,Challenger,N/A,"1,026",R,.17,57.77,42.23,  ,  ,
Governor,Virginia,20091103,"262,300",HENRICO,"49,462","McDonnell, Robert F.",Challenger,"38,420","Deeds, R. Creigh",Challenger,WR,114,Scattered Write-Ins,Challenger,N/A,"11,042",R,.13,56.28,43.72,  ,  ,
Governor,Virginia,20091103,"57,930",HENRY,"8,160","McDonnell, Robert F.",Challenger,"4,791","Deeds, R. Creigh",Challenger,WR,1,Scattered Write-Ins,Challenger,N/A,"3,369",R,.01,63.01,36.99,  ,  ,
Governor,Virginia,20091103,"2,536",HIGHLAND,619,"McDonnell, Robert F.",Challenger,505,"Deeds, R. Creigh",Challenger,WR,N/A,Scattered Write-Ins,Challenger,N/A,114,R,.00,55.07,44.93,  ,  ,
Governor,Virginia,20091103,"22,354",HOPEWELL,"2,926","McDonnell, Robert F.",Challenger,"1,753","Deeds, R. Creigh",Challenger,WR,11,Scattered Write-Ins,Challenger,N/A,"1,173",R,.23,62.53,37.47,  ,  ,
Governor,Virginia,20091103,"29,728",ISLE OF WIGHT,"7,684","McDonnell, Robert F.",Challenger,"3,981","Deeds, R. Creigh",Challenger,WR,8,Scattered Write-Ins,Challenger,N/A,"3,703",R,.07,65.87,34.13,  ,  ,
Governor,Virginia,20091103,"48,102",JAMES CITY,"15,193","McDonnell, Robert F.",Challenger,"7,945","Deeds, R. Creigh",Challenger,WR,25,Scattered Write-Ins,Challenger,N/A,"7,248",R,.11,65.66,34.34,  ,  ,
Governor,Virginia,20091103,"6,630",KING AND QUEEN,"1,175","McDonnell, Robert F.",Challenger,819,"Deeds, R. Creigh",Challenger,WR,2,Scattered Write-Ins,Challenger,N/A,356,R,.10,58.93,41.07,  ,  ,
